timestamp,bible_or_anime,quote,quote_source,image_prompt,image_file,image_file_motivational,tweet_link,tweet_id
,anime,We don’t have to know what tomorrow holds! That’s why we can live for everything we’re worth today!,Natsu Dragneel (Fairy Tail),,,,,
,anime,If you really want to be strong… Stop caring about what your surrounding thinks of you!,Saitama,,,,,
,bible,Seest thou a man wise in his own conceit? there is more hope of a fool than of him.,Proverbs 26:12,,,,,
,anime,I'm not going there to die. I'm going there to find out if I'm really alive.,Spike Spiegel,,,,,
,bible,"That the saying of Esaias the prophet might be fulfilled, which he spake, Lord, who hath believed our report? and to whom hath the arm of the Lord been revealed?",John 12:38,,,,,
,anime,Being lonely is more painful than getting hurt.,Monkey D. Luffy,,,,,
,anime,"The world’s not perfect, but it’s there for us trying the best it can. That’s what makes it so damn beautiful.",Roy Mustang (Fullmetal Alchemist),,,,,
,bible,They came upon me as a wide breaking in of waters: in the desolation they rolled themselves upon me.,Job 30:14,,,,,
,anime,"A person grows up when he’s able to overcome hardships. Protection is important, but there are some things that a person must learn on his own.",Jiraiya (Naruto),,,,,
,bible,"And ye shall do no work in that same day: for it is a day of atonement, to make an atonement for you before the LORD your God.",Leviticus 23:28,,,,,
,anime,"The brighter they shine, the darker the shadow grows.",Makino Fumito,,,,,
,bible,"They proclaimed a fast, and set Naboth on high among the people.",1 Kings 21:12,,,,,
,anime,"You can die anytime, but living takes true courage.",Kenshin Himura,,,,,
,bible,That I may not seem as if I would terrify you by letters.,2 Corinthians 10:9,,,,,
,anime,"A person grows up when he’s able to overcome hardships. Protection is important, but there are some things that a person must learn on his own.“",Jiraiya,,,,,
,anime,"Either in belief or doubt, if I lean to one of these sides, my reaction time will be dulled if my heart thinks the opposite of what I choose.",Roronoa Zoro (One Piece),,,,,
,anime,"If you can’t do something, then don’t. Focus on what you can.",Shiroe (Log Horizon),,,,,
,bible,"Lo, when the wall is fallen, shall it not be said unto you, Where is the daubing wherewith ye have daubed it?",Ezekiel 13:12,,,,,
,bible,"Then said the LORD unto me, Pray not for this people for their good.",Jeremiah 14:11,,,,,
,anime,Love is not necessary; power is the only true necessity.,Madara Uchiha,,,,,
,anime,"A person can change, at the moment when the person wishes to change.",Haruhi Fujioka (Ouran Highschool Host Club),,,,,
,anime,Forgetting is like a wound. The wound may heal but it has already left a scar.,Monkey D Luffy (One Piece),,,,,
,anime,You will never be able to love anybody else until you love yourself.,Lelouch Lamperouge (Code Geass),,,,,
,bible,"If any of them that believe not bid you to a feast, and ye be disposed to go; whatsoever is set before you, eat, asking no question for conscience sake.",1 Corinthians 10:27,,,,,
,anime,"If you just submit yourself to fate, then that’s the end of it.",Keiichi Maebara (Higurashi: When They Cry),,,,,
,anime,"If you don’t share someone’s pain, you can never understand them.",Nagato,,,,,
,anime,"If you don’t take risks, you can’t create a future!",Monkey D. Luffy,,,,,
,bible,"This is the inheritance of the children of Gad after their families, the cities, and their villages.",Joshua 13:28,,,,,
